odds,Date,home_team,away_team,Game,Round,Goals,Behinds,Points,Margin,Venue,Opposition,Opposition Goals,Opposition Behinds,Opposition Points,odds_away,Goals_away,Behinds_away,Margin_away
1.3173,24/03/2011,Carlton,Richmond,13764,1,14,20,104,20,M.C.G.,Richmond,13,6,84,4.1394,13,6,-20
2.3681,25/03/2011,Geelong,St Kilda,13765,1,6,12,48,1,M.C.G.,St Kilda,6,11,47,1.726,6,11,-1
1.9252,26/03/2011,Adelaide,Hawthorn,13767,1,16,9,105,20,Football Park,Hawthorn,12,13,85,2.0542,12,13,-20
2.0039,26/03/2011,Brisbane,Fremantle,13768,1,14,8,92,-2,Gabba,Fremantle,13,16,94,1.9856,13,16,2
1.0827,26/03/2011,Collingwood,Port Adelaide,13766,1,24,11,155,75,Docklands,Port Adelaide,12,8,80,12.8365,12,8,-75
2.5242,27/03/2011,Essendon,Western Bulldogs,13769,1,16,17,113,55,Docklands,Western Bulldogs,8,10,58,1.6461,8,10,-55
1.969,27/03/2011,Melbourne,Sydney,13770,1,11,18,84,0,M.C.G.,Sydney,11,18,84,2.032,11,18,0
1.6391,27/03/2011,West Coast,North Melbourne,13771,1,13,14,92,4,Subiaco,North Melbourne,13,10,88,2.5203,13,10,-4
16.6383,15/04/2011,Richmond,Collingwood,13788,4,13,12,90,-71,M.C.G.,Collingwood,24,17,161,1.0603,24,17,71
2.0386,16/04/2011,Carlton,Essendon,13789,4,11,13,79,0,M.C.G.,Essendon,11,13,79,1.9478,11,13,0
1.148,16/04/2011,Hawthorn,West Coast,13790,4,10,12,72,7,York Park,West Coast,9,11,65,7.6455,9,11,-7
2.9348,16/04/2011,Port Adelaide,Adelaide,13792,4,14,14,98,32,Football Park,Adelaide,9,12,66,1.5116,9,12,-32
2.257,16/04/2011,Sydney,Geelong,13791,4,7,12,54,-27,S.C.G.,Geelong,11,15,81,1.7836,11,15,27
1.2417,17/04/2011,Fremantle,North Melbourne,13794,4,18,19,127,29,Subiaco,North Melbourne,14,14,98,5.0681,14,14,-29
12.7945,17/04/2011,Gold Coast,Melbourne,13793,4,9,15,69,-90,Gabba,Melbourne,23,21,159,1.0805,23,21,90
4.3258,21/04/2011,Brisbane,St Kilda,13795,5,11,10,76,-13,Gabba,St Kilda,13,11,89,1.2933,13,11,13
1.3125,23/04/2011,Carlton,Adelaide,13797,5,11,19,85,6,Docklands,Adelaide,12,7,79,4.164,12,7,-6
1.0559,23/04/2011,Port Adelaide,Gold Coast,13796,5,15,11,101,-3,Football Park,Gold Coast,15,14,104,17.8944,15,14,3
1.9134,24/04/2011,North Melbourne,Richmond,13798,5,14,19,103,-9,Docklands,Richmond,17,10,112,2.0768,17,10,9
5.1585,25/04/2011,Essendon,Collingwood,13799,5,11,11,77,-30,M.C.G.,Collingwood,16,11,107,1.2384,16,11,30
1.7609,25/04/2011,Fremantle,Western Bulldogs,13800,5,12,13,85,7,Subiaco,Western Bulldogs,11,12,78,2.2859,11,12,-7
2.1561,26/04/2011,Hawthorn,Geelong,13801,5,15,8,98,-19,M.C.G.,Geelong,17,15,117,1.8546,17,15,19
1.5614,28/04/2011,West Coast,Melbourne,13802,6,15,16,106,54,Subiaco,Melbourne,6,16,52,2.7506,6,16,-54
