date,game_id,season,round,venue,team_1,team_2,home_team_1,margin,winner,supercoach_1,supercoach_2,elo_1,elo_2
2012-03-24,1,2012,1,Stadium Australia,Sydney,GWS,0,63,1,81.0,66.5,1546.259419849826,1150.0
2012-03-29,2,2012,1,M.C.G.,Carlton,Richmond,0,44,1,81.5,56.0,1564.948768065846,1376.040714377149
2012-03-30,3,2012,1,M.C.G.,Hawthorn,Collingwood,1,22,1,84.5,67.5,1652.975920909128,1771.3766984130887
2012-03-31,4,2012,1,Subiaco,Fremantle,Geelong,1,4,1,80.0,65.5,1531.323965826089,1751.9444917905264
2012-03-31,5,2012,1,Carrara,Gold Coast,Adelaide,1,-69,0,57.5,87.0,1179.5605174345371,1422.9320524945485
2012-03-31,6,2012,1,M.C.G.,Brisbane,Melbourne,0,41,1,82.5,61.5,1322.4802483527787,1390.8872669233701
2012-03-31,7,2012,1,Docklands,Essendon,North Melbourne,0,2,1,72.0,74.0,1477.0784163477824,1483.7666810622432
2012-04-01,8,2012,1,Docklands,West Coast,Western Bulldogs,0,49,1,82.5,76.5,1477.0167730404812,1535.4548657582413
2012-04-01,9,2012,1,Football Park,St Kilda,Port Adelaide Power,0,-4,0,82.0,75.0,1623.6548946349321,1332.298304719431
2012-04-05,10,2012,2,Gabba,Carlton,Brisbane,0,91,1,90.5,60.0,1572.5117752725046,1365.3960358115016
2012-04-07,11,2012,2,Subiaco,Melbourne,West Coast,0,-108,0,54.0,90.0,1332.9714794646472,1664.516222270205
2012-04-07,12,2012,2,Docklands,Port Adelaide Power,Essendon,0,-25,0,69.0,91.5,1342.574240723152,1532.3671362836567
2012-04-07,13,2012,2,S.C.G.,Sydney,Fremantle,1,13,1,75.5,69.5,1574.040551313528,1384.7462166067855
2012-04-07,14,2012,2,M.C.G.,Richmond,Collingwood,0,-21,0,72.5,76.0,1368.4777071704905,1751.4540302167588
2012-04-07,15,2012,2,Football Park,Western Bulldogs,Adelaide,0,-18,0,72.0,86.0,1477.9554165285176,1443.8619709792629
2012-04-08,16,2012,2,Docklands,St Kilda,Gold Coast,1,92,1,96.5,51.5,1638.3789586312112,1148.6305989498228
2012-04-08,17,2012,2,Bellerive Oval,GWS,North Melbourne,0,-129,0,57.5,92.0,1147.2188685362978,1593.4779611263689
2012-04-09,18,2012,2,M.C.G.,Hawthorn,Geelong,0,-2,0,77.0,70.0,1672.8985891054579,1728.52224100983
2012-04-13,19,2012,3,M.C.G.,Carlton,Collingwood,1,60,1,74.5,66.5,1579.497456644029,1754.4342049514646
2012-04-14,20,2012,3,Docklands,Western Bulldogs,St Kilda,1,-63,0,67.5,86.5,1461.4881905790128,1600.0677922396972
2012-04-14,21,2012,3,Football Park,Port Adelaide Power,Sydney,1,-22,0,71.5,74.0,1350.0400081830085,1556.5909878780692
2012-04-14,22,2012,3,Carrara,Essendon,Gold Coast,0,17,1,81.0,68.5,1499.9013688238,1171.9417653413368
2012-04-14,23,2012,3,Subiaco,Fremantle,Brisbane,1,29,1,95.0,71.5,1547.1957800422445,1333.4103544399773
2012-04-14,24,2012,3,M.C.G.,Melbourne,Richmond,0,-59,0,61.5,89.0,1329.0970797740124,1365.4975324357847
2012-04-15,25,2012,3,Blacktown,West Coast,GWS,0,81,1,78.5,73.5,1498.3906219608398,1155.083807181986
2012-04-15,26,2012,3,Docklands,North Melbourne,Geelong,1,17,1,73.0,70.0,1470.6130224806807,1741.1410842739274
2012-04-15,27,2012,3,M.C.G.,Hawthorn,Adelaide,1,56,1,94.5,55.5,1700.2797458413604,1445.3291969287677
2012-04-21,28,2012,4,Subiaco,West Coast,Hawthorn,1,5,1,83.0,70.0,1672.042251592521,1665.89891523931
